round_epochs,val_loss,acc,loss,val_acc,last_activation,first_neuron,epochs,batch_size
300,0.0027245169284900554,0.013215859720097764,0.00498265160415896,0.0,<function relu at 0x137477f28>,12,300,30
100,0.0027761609914402166,0.013215859359056415,0.0050049961140966005,0.0,<function elu at 0x137477d08>,24,100,20
100,0.0034211027975145137,0.013215859720097764,0.005747637155543734,0.0,<function elu at 0x137477d08>,12,100,30
200,0.002730058824741527,0.013215859720097764,0.004985976187791265,0.0,<function elu at 0x137477d08>,24,200,30
200,0.0027658368558867983,0.013215859720097764,0.005013417957211119,0.0,<function elu at 0x137477d08>,12,200,30
200,0.0026009941653332164,0.013215859359056415,0.004998772750744013,0.0,<function relu at 0x137477f28>,24,200,10
300,0.3077300473263389,0.013215859720097764,0.2753886912625267,0.0,<function relu at 0x137477f28>,24,300,30
300,0.0027035453699921306,0.013215859720097764,0.004986714886599897,0.0,<function elu at 0x137477d08>,12,300,30
200,0.30773004994057773,0.01321585955598806,0.27538869428214524,0.0,<function relu at 0x137477f28>,24,200,20
200,0.3077300473263389,0.013215859720097764,0.27538869205025324,0.0,<function relu at 0x137477f28>,48,200,30
300,0.3077300426207091,0.01321585955598806,0.2753886999275191,0.0,<function relu at 0x137477f28>,24,300,10
300,0.3077300473263389,0.013215859720097764,0.2753886912625267,0.0,<function relu at 0x137477f28>,48,300,30
100,0.3077300426207091,0.01321585955598806,0.2753886980894904,0.0,<function relu at 0x137477f28>,48,100,10
100,0.0027157340950348923,0.013215859359056415,0.004991828341915022,0.0,<function elu at 0x137477d08>,48,100,20
100,0.3077300473263389,0.013215859720097764,0.2753886892932102,0.0,<function relu at 0x137477f28>,48,100,30
100,0.0027514253252823103,0.013215859490344178,0.004991701912311304,0.0,<function elu at 0x137477d08>,12,100,20
300,0.30773004994057773,0.01321585955598806,0.275388694413433,0.0,<function relu at 0x137477f28>,12,300,20
200,0.002597114925983509,0.013215859359056415,0.004981912045312906,0.0,<function elu at 0x137477d08>,24,200,10
200,0.0026128385430446975,0.013215859490344178,0.004991851071109134,0.0,<function relu at 0x137477f28>,12,200,10
100,0.0027121492914790124,0.013215859359056415,0.004993659536721439,0.0,<function relu at 0x137477f28>,24,100,20
100,0.30773004994057773,0.013215859359056415,0.27538869776127095,0.0,<function relu at 0x137477f28>,12,100,20
100,0.0027230997823113412,0.013215859359056415,0.004992034863721628,0.0,<function relu at 0x137477f28>,48,100,20
100,0.3077300426207091,0.013215859359056415,0.27538869887721695,0.0,<function relu at 0x137477f28>,12,100,10
300,0.002597779724869485,0.01321585955598806,0.004982374694674288,0.0,<function elu at 0x137477d08>,48,300,10
100,0.002881241423126898,0.013215859720097764,0.005091600879074981,0.0,<function elu at 0x137477d08>,24,100,30
100,0.002675232223210562,0.013215859359056415,0.005003903232441009,0.0,<function elu at 0x137477d08>,24,100,10
200,0.30773004994057773,0.013215859490344178,0.27538869782691483,0.0,<function relu at 0x137477f28>,48,200,20
300,0.0026260830151538053,0.013215859359056415,0.004979543799189809,0.0,<function elu at 0x137477d08>,48,300,20
200,0.002775993663817644,0.013215859720097764,0.004991868535458779,0.0,<function relu at 0x137477f28>,12,200,30
300,0.30773004994057773,0.01321585955598806,0.2753886962514617,0.0,<function relu at 0x137477f28>,48,300,20
200,0.3077300473263389,0.013215859720097764,0.2753886933631309,0.0,<function relu at 0x137477f28>,24,200,30
200,0.0027143719581593025,0.013215859720097764,0.004980862900175745,0.0,<function elu at 0x137477d08>,48,200,30
300,0.0026496061319975475,0.01321585955598806,0.004977252686166488,0.0,<function elu at 0x137477d08>,24,300,20
100,0.0026337972876877246,0.01321585955598806,0.004995074500596471,0.0,<function elu at 0x137477d08>,48,100,10
100,0.002811048412695527,0.013215859720097764,0.004997561897032193,0.0,<function elu at 0x137477d08>,48,100,30
300,0.0027425966446140877,0.013215859720097764,0.004992097361825636,0.0,<function elu at 0x137477d08>,24,300,30
200,0.0027197227739778006,0.01321585955598806,0.005003359685713499,0.0,<function elu at 0x137477d08>,12,200,20
100,0.00270934950809501,0.013215859359056415,0.004989156772337427,0.0,<function elu at 0x137477d08>,12,100,10
300,0.0026021951782974626,0.013215859359056415,0.004973091163553527,0.0,<function relu at 0x137477f28>,48,300,10
300,0.0026294190902262926,0.01321585955598806,0.004983615118390696,0.0,<function relu at 0x137477f28>,24,300,20
300,0.002612537824908239,0.01321585955598806,0.004990421855203717,0.0,<function elu at 0x137477d08>,12,300,10
100,0.002689682015650824,0.013215859359056415,0.005001828861925422,0.0,<function relu at 0x137477f28>,24,100,10
300,0.0027161612371472935,0.013215859720097764,0.004977210101749469,0.0,<function elu at 0x137477d08>,48,300,30
200,0.0026386842507411514,0.013215859490344178,0.004989196354572534,0.0,<function elu at 0x137477d08>,24,200,20
300,0.002676125897682811,0.01321585955598806,0.004973085821782637,0.0,<function elu at 0x137477d08>,12,300,20
100,0.3077300473263389,0.013215859720097764,0.27538869487294015,0.0,<function relu at 0x137477f28>,12,100,30
200,0.002601082089536807,0.013215859359056415,0.0049916437400365455,0.0,<function elu at 0x137477d08>,48,200,10
200,0.0026866550344908447,0.01321585955598806,0.004976448207059752,0.0,<function relu at 0x137477f28>,12,200,20
300,0.0025947042822576406,0.01321585955598806,0.004993124488056002,0.0,<function elu at 0x137477d08>,24,300,10
100,0.3077300473263389,0.013215859720097764,0.27538869598888616,0.0,<function relu at 0x137477f28>,24,100,30
200,0.002656155539545835,0.01321585955598806,0.004969577007570062,0.0,<function elu at 0x137477d08>,48,200,20
300,0.3077300426207091,0.013215859490344178,0.2753886983520659,0.0,<function relu at 0x137477f28>,12,300,10
200,0.3077300426207091,0.013215859490344178,0.27538869973058744,0.0,<function relu at 0x137477f28>,48,200,10
200,0.002624494412693342,0.013215859359056415,0.004997546089677723,0.0,<function elu at 0x137477d08>,12,200,10
